family,supply_v,mounting,duty,kw,hp,reference,line_current_a,line_current_b,max_continuous_a,max_transient_60s_a,has_dc_choke,emc_note,ip_note,variant_rank,is_default_variant,source_pdf,source_page
ATV650,380-480 V,wall,HD,3,,ATV650U40N4E,6,5.4,7.2,10.8,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,5.5,7.5,ATV650U55N4E,10.4,9.1,12.7,14,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,4,5,ATV650U55N4E,8,7.2,9.3,14,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,7.5,10,ATV650U75N4E,13.8,11.9,16.5,18.2,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,5.5,7.5,ATV650U75N4E,10.5,9.2,12.7,19.1,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,11,15,ATV650D11N4E,19.8,17,23.5,25.9,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,7.5,10,ATV650D11N4E,14.1,12.5,16.5,24.8,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,15,20,ATV650D15N4E,27,23.3,31.7,34.9,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,11,15,ATV650D15N4E,20.6,18.1,23.5,35.3,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,18.5,25,ATV650D18N4E,33.4,28.9,39.2,43.1,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,15,20,ATV650D18N4E,27.7,24.4,31.7,47.6,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,22,30,ATV650D22N4E,39.6,34.4,46.3,50.9,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,18.5,25,ATV650D22N4E,34.1,29.9,39.2,58.8,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,30,40,ATV650D30N4E,53.3,45.9,61.5,67.7,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,22,30,ATV650D30N4E,40.5,35.8,46.3,69.5,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,37,50,ATV650D37N4E,66.2,57.3,74.5,82,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,30,40,ATV650D37N4E,54.8,48.3,61.5,92.3,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,45,60,ATV650D45N4E,79.8,69.1,88,96.8,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,37,50,ATV650D45N4E,67.1,59,74.5,111.8,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,55,75,ATV650D55N4E,97.2,84.2,106,116.6,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,45,60,ATV650D55N4E,81.4,71.8,88,132,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,75,100,ATV650D75N4E,131.3,112.7,145,159.5,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,55,75,ATV650D75N4E,98.9,86.9,106,159,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,90,125,ATV650D90N4E,156.2,135.8,173,190.3,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,75,100,ATV650D90N4E,134.3,118.1,145,217.5,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV630,500-690 V,wall,ND,1.5,2,ATV630U22Y6,3.4,3.6,3.1,3.4,unknown,,IP00,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,29
ATV630,500-690 V,wall,HD,1.1,1.5,ATV630U22Y6,2.6,2.6,2.4,3.6,unknown,,IP00,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,29
ATV630,500-690 V,wall,ND,2.2,3,ATV630U30Y6,4.7,4.8,4.2,4.6,unknown,,IP00,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,29
